polarity;category;term_target;start_end;sentence;cleaned_sentence;parsed_sentence;parsed_sentence_list;Spacy_parsed_list
0;positive;AMBIENCE#GENERAL;seating;18:25;short and sweet – seating is great:it's romantic,cozy and private.;short sweet seating great romantic cozy private;[(('great', 'JJ'), 'nsubj', ('seating', 'NN')), (('seating', 'NN'), 'amod', ('short', 'JJ')), (('short', 'JJ'), 'cc', ('and', 'CC')), (('short', 'JJ'), 'conj', ('sweet', 'JJ')), (('great', 'JJ'), 'cop', ('is', 'VBZ')), (('great', 'JJ'), 'ccomp', ('cozy', 'JJ')), (('cozy', 'JJ'), 'nsubj', ('it', 'PRP')), (('cozy', 'JJ'), 'cop', ('s', 'VBZ')), (('cozy', 'JJ'), 'amod', ('romantic', 'JJ')), (('cozy', 'JJ'), 'cc', ('and', 'CC')), (('cozy', 'JJ'), 'conj', ('private', 'JJ'))];seating great short;seating is short
1;positive;AMBIENCE#GENERAL;trattoria;25:34;This quaint and romantic trattoria is at the top of my Manhattan restaurant list.;quaint romantic trattoria top manhattan restaurant list;[(('top', 'NN'), 'nsubj', ('trattoria', 'NN')), (('trattoria', 'NN'), 'det', ('This', 'DT')), (('trattoria', 'NN'), 'amod', ('quaint', 'JJ')), (('quaint', 'JJ'), 'cc', ('and', 'CC')), (('quaint', 'JJ'), 'conj', ('romantic', 'JJ')), (('top', 'NN'), 'cop', ('is', 'VBZ')), (('top', 'NN'), 'case', ('at', 'IN')), (('top', 'NN'), 'det', ('the', 'DT')), (('top', 'NN'), 'nmod', ('list', 'NN')), (('list', 'NN'), 'case', ('of', 'IN')), (('list', 'NN'), 'nmod:poss', ('my', 'PRP$')), (('list', 'NN'), 'compound', ('Manhattan', 'NNP')), (('list', 'NN'), 'compound', ('restaurant', 'NN'))];trattoria top this quaint;trattoria is this quaint
2;positive;FOOD#QUALITY;food;98:102;The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.;different beers offer thier guest made husband happy food delicious must recommend dish must pumkin tortelini;[(('have', 'VBP'), 'nsubj', ('The', 'NNP')), (('have', 'VBP'), 'nmod', ('beers', 'NNS')), (('beers', 'NNS'), 'case', ('over', 'IN')), (('beers', 'NNS'), 'amod', ('different', 'JJ')), (('have', 'VBP'), 'xcomp', ('offer', 'VB')), (('offer', 'VB'), 'mark', ('to', 'TO')), (('offer', 'VB'), 'dobj', ('guest', 'NN')), (('guest', 'NN'), 'compound', ('thier', 'NN')), (('offer', 'VB'), 'advcl', ('made', 'VBD')), (('made', 'VBD'), 'mark', ('so', 'IN')), (('made', 'VBD'), 'nsubj', ('that', 'DT')), (('made', 'VBD'), 'xcomp', ('happy', 'JJ')), (('happy', 'JJ'), 'nsubj', ('husband', 'NN')), (('husband', 'NN'), 'nmod:poss', ('my', 'PRP$')), (('happy', 'JJ'), 'advmod', ('very', 'RB')), (('made', 'VBD'), 'cc', ('and', 'CC')), (('made', 'VBD'), 'conj', ('delicious', 'JJ')), (('delicious', 'JJ'), 'nsubj', ('food', 'NN')), (('food', 'NN'), 'det', ('the', 'DT')), (('delicious', 'JJ'), 'cop', ('was', 'VBD')), (('delicious', 'JJ'), 'advcl', ('recommend', 'VB')), (('recommend', 'VB'), 'mark', ('if', 'IN')), (('recommend', 'VB'), 'nsubj', ('I', 'PRP')), (('recommend', 'VB'), 'aux', ('must', 'MD')), (('recommend', 'VB'), 'dobj', ('dish', 'NN')), (('dish', 'NN'), 'det', ('a', 'DT')), (('dish', 'NN'), 'acl:relcl', ('tortelini', 'NN')), (('tortelini', 'NN'), 'nsubj', ('it', 'PRP')), (('tortelini', 'NN'), 'aux', ('must', 'MD')), (('tortelini', 'NN'), 'cop', ('be', 'VB')), (('tortelini', 'NN'), 'det', ('the', 'DT')), (('tortelini', 'NN'), 'compound', ('pumkin', 'NN'))];food delicious the;food was the
3;negative;SERVICE#GENERAL;STAFF;5:10;THIS STAFF SHOULD BE FIRED.;staff fired;[(('THIS', 'VBZ'), 'nsubj', ('FIRED', 'NNP')), (('FIRED', 'NNP'), 'compound', ('STAFF', 'NNP')), (('FIRED', 'NNP'), 'compound', ('SHOULD', 'NNP')), (('FIRED', 'NNP'), 'compound', ('BE', 'NNP'))];staff fired;staff be this
4;positive;FOOD#STYLE_OPTIONS;menu;4:8;The menu looked great, and the waiter was very nice, but when the food came, it was average.;menu looked great waiter nice but food came average;[(('looked', 'VBD'), 'nsubj', ('menu', 'NN')), (('menu', 'NN'), 'det', ('The', 'DT')), (('looked', 'VBD'), 'dep', ('nice', 'JJ')), (('nice', 'JJ'), 'nsubj', ('great', 'JJ')), (('great', 'JJ'), 'cc', ('and', 'CC')), (('great', 'JJ'), 'conj', ('waiter', 'NN')), (('waiter', 'NN'), 'det', ('the', 'DT')), (('nice', 'JJ'), 'cop', ('was', 'VBD')), (('nice', 'JJ'), 'advmod', ('very', 'RB')), (('nice', 'JJ'), 'cc', ('but', 'CC')), (('nice', 'JJ'), 'conj', ('came', 'VBD')), (('came', 'VBD'), 'advmod', ('when', 'WRB')), (('came', 'VBD'), 'nsubj', ('food', 'NN')), (('food', 'NN'), 'det', ('the', 'DT')), (('came', 'VBD'), 'ccomp', ('average', 'JJ')), (('average', 'JJ'), 'nsubj', ('it', 'PRP')), (('average', 'JJ'), 'cop', ('was', 'VBD'))];menu looked the;menu looked the
5;positive;FOOD#QUALITY;tuna;4:8;The tuna and wasabe potatoes are excellent.;tuna wasabe potatoes excellent;[(('excellent', 'JJ'), 'nsubj', ('potatoes', 'NNS')), (('potatoes', 'NNS'), 'det', ('The', 'DT')), (('potatoes', 'NNS'), 'compound', ('tuna', 'NN')), (('tuna', 'NN'), 'cc', ('and', 'CC')), (('tuna', 'NN'), 'conj', ('wasabe', 'NN')), (('excellent', 'JJ'), 'cop', ('are', 'VBP'))];tuna potatoes and wasabe;tuna potatoes and wasabe
6;negative;SERVICE#GENERAL;staff;82:87;The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.;whole set truly unprofessional wish cafe noir would get good staff despite current one great place;[(('unprofessional', 'JJ'), 'nsubj', ('whole', 'NN')), (('whole', 'NN'), 'det', ('The', 'DT')), (('whole', 'NN'), 'acl', ('set', 'VBN')), (('set', 'VBN'), 'compound:prt', ('up', 'RP')), (('unprofessional', 'JJ'), 'cop', ('is', 'VBZ')), (('unprofessional', 'JJ'), 'advmod', ('truly', 'RB')), (('unprofessional', 'JJ'), 'dep', ('wish', 'VBP')), (('wish', 'VBP'), 'cc', ('and', 'CC')), (('wish', 'VBP'), 'nsubj', ('I', 'PRP')), (('wish', 'VBP'), 'ccomp', ('get', 'VB')), (('get', 'VB'), 'nsubj', ('Noir', 'NNP')), (('Noir', 'NNP'), 'compound', ('Cafe', 'NNP')), (('get', 'VB'), 'aux', ('would', 'MD')), (('get', 'VB'), 'dobj', ('staff', 'NN')), (('staff', 'NN'), 'det', ('some', 'DT')), (('staff', 'NN'), 'amod', ('good', 'JJ')), (('unprofessional', 'JJ'), 'ccomp', ('place', 'NN')), (('place', 'NN'), 'mark', ('because', 'IN')), (('place', 'NN'), 'nmod', ('one', 'NN')), (('one', 'NN'), 'case', ('despite', 'IN')), (('one', 'NN'), 'det', ('the', 'DT')), (('one', 'NN'), 'amod', ('current', 'JJ')), (('place', 'NN'), 'nsubj', ('this', 'DT')), (('place', 'NN'), 'cop', ('is', 'VBZ')), (('place', 'NN'), 'det', ('a', 'DT')), (('place', 'NN'), 'amod', ('great', 'JJ'))];staff get some good;staff get some good
7;negative;SERVICE#GENERAL;service;76:83;sometimes i get bad food and bad service, sometimes i get good good and bad service.;sometimes get bad food bad service sometimes get good good bad service;[(('i', 'FW'), 'dep', ('sometimes', 'RB')), (('i', 'FW'), 'acl:relcl', ('get', 'VBP')), (('get', 'VBP'), 'ccomp', ('get', 'VB')), (('get', 'VB'), 'nsubj', ('food', 'NN')), (('food', 'NN'), 'amod', ('bad', 'JJ')), (('food', 'NN'), 'cc', ('and', 'CC')), (('food', 'NN'), 'conj', ('service', 'NN')), (('service', 'NN'), 'amod', ('bad', 'JJ')), (('get', 'VB'), 'advmod', ('sometimes', 'RB')), (('get', 'VB'), 'dep', ('i', 'NN')), (('get', 'VB'), 'dobj', ('service', 'NN')), (('service', 'NN'), 'amod', ('good', 'JJ')), (('service', 'NN'), 'amod', ('good', 'JJ')), (('good', 'JJ'), 'cc', ('and', 'CC')), (('good', 'JJ'), 'conj', ('bad', 'JJ'))];service food bad get good good;service food bad service get good good
8;positive;FOOD#STYLE_OPTIONS;BBQ ribs;38:46;This place has the best Chinese style BBQ ribs in the city.;place best chinese style bbq ribs city;[(('has', 'VBZ'), 'nsubj', ('place', 'NN')), (('place', 'NN'), 'det', ('This', 'DT')), (('has', 'VBZ'), 'dobj', ('ribs', 'NN')), (('ribs', 'NN'), 'det', ('the', 'DT')), (('ribs', 'NN'), 'amod', ('best', 'JJS')), (('ribs', 'NN'), 'amod', ('Chinese', 'JJ')), (('ribs', 'NN'), 'compound', ('style', 'NN')), (('ribs', 'NN'), 'compound', ('BBQ', 'NN')), (('ribs', 'NN'), 'nmod', ('city', 'NN')), (('city', 'NN'), 'case', ('in', 'IN')), (('city', 'NN'), 'det', ('the', 'DT'))];bbq ribs ribs has the best chinese style bbq city;bbq ribs ribs has the style bbq in
9;positive;AMBIENCE#GENERAL;place;6:11;Great place to relax and enjoy your dinner;great place relax enjoy dinner;[(('place', 'VBP'), 'nsubj', ('Great', 'NNP')), (('place', 'VBP'), 'xcomp', ('relax', 'VB')), (('relax', 'VB'), 'mark', ('to', 'TO')), (('relax', 'VB'), 'cc', ('and', 'CC')), (('relax', 'VB'), 'conj', ('enjoy', 'VB')), (('relax', 'VB'), 'dobj', ('dinner', 'NN')), (('dinner', 'NN'), 'nmod:poss', ('your', 'PRP$'))];place great relax;place place great relax
